"105 House","http://shoutcast.unitedradio.it:1203/","House","Italy",""
"Accent 4","http://str0.creacast.com:900/","Classic","France",""
"Activa FM","http://stream2.beatproducciones.com:8012/","Pop","Spain",""
"Aktina Radio","http://shout.streamwithq.gr:4066","Top 40","Greece",""
"Antena Radio","http://94.23.38.225:7005/","Folk","Serbia",""
"Antena Zagreb","http://173.192.137.34:8050/","Top 40","Croatia",""
"Antena-6","http://www.antena6.com:8015/","Top 40","Spain",""
"Athens Deejay 95.2","http://91.132.6.21:8001/","Top 40","Greece",""
"Atlantis FM","http://eco.caststream.net:8046/","Rock","Greece",""
"B92 uzivo","http://stream.b92.net:7999/radio-b92.mp3","News","Serbia","Favorite"
"Big FM","http://82.208.143.10:8000/","Top 40","Romania","Favorite"
"BN Radio","http://stream.rtvbn.com:8522/","News","Bosna i Hercegovina",""
"Bum Bum Radio","http://radio.bumbumradio.rs:8010","Folk","Serbia",""
"Cadena Cope Sevilla","http://184.107.179.162:8964/","News","Spain",""
"CampusFM","http://132.252.179.253:8000/","News","Germany",""
"Candil Radio","http://s6.viastreaming.net:7100/","Regional service","Spain",""
"Chanquete FM","http://92.48.107.35:8008/","Pop","Spain",""
"Classical 102","http://tuner.classical102.com:80/","Classic","Germany","Favorite"
"Coast FM","http://s3.viastreaming.net:8540/","Top 40","Spain",""
"Crooze.fm","http://193.227.114.74:9000/","Jazz","Belgium",""
"Dalkas 88.2","http://78.46.66.215:8007/","Etno","Greece",""
"Disco Music Radio","http://www.discomusicradio.com:8100/","Dance","Africa",""
"esRadio","http://91.121.68.52:8054/","News","Spain",""
"Finam FM","http://94.79.33.139:9092/","Classic Hits","Russia",""
"Flash FM","http://live140.impek.com:8002/","Dance","France",""
"FM4 - Live from Austria — Vienna","http://mp3stream1.apasf.apa.at:8000/","Hit","Austria",""
"Folk Radio","http://89.205.127.244:8000/","Folk","Macedonia",""
"Fresh FM","http://streams.fresh.fm:8100/","Dance","Netherlands",""
"Fun FM","http://streamhost110.gtk.hu:9408/","Top 40","Hungary",""
"Fun Rádio - Slovensko","http://stream.funradio.sk:8000/fun64.mp3","Hit","Slovakia",""
"Fun Radio","http://asculta.radio-fun.ro:8698/","Top 40","Romania",""
"Glenti FM","http://s3.onweb.gr:8532/","Folk","Greece",""
"Global Radio","http://s6.viastreaming.net:7450/","Dance","Spain",""
"Gold FM","http://80.86.106.110:8000/","Oldies","Romania",""
"Holland FM","http://stream01.streamhier.nl:9010/","Regional service","Spain",""
"Impact FM","http://stream.radioimpactfm.ro:1935/","Top 40","Romania",""
"In Radio","http://89.216.30.11:88/broadwave.mp3?src=1&rate=1&ref=","Pop","Serbia",""
"Island FM","http://95.211.4.241:8006/","Regional service","UK",""
"JAMM 104.9 FM Amsterdam","http://stream.jammfm.nl:8221/","News","Amsterdam",""
"JAT Radio - 32kbps","http://streaming.radiojat.rs:12121","Pop","Serbia",""
"JAT Radio - 48kbps","http://streaming.radiojat.rs:12111","Pop","Serbia",""
"Jazz FM - София 104 FM","http://live.btvradio.bg:8000/jazz-fm.mp3","Jazz","България",""
"Jazz FM","http://listen.onmyradio.net:8002/","Jazz","UK","Favorite"
"Jazz Radio","http://194.38.105.21:8002/","Jazz","Hungary",""
"Kanal 4","http://195.26.152.94:8000/","Sport","Macedonia",""
"KastoriaFm 91.5","http://eco.onestreaming.com:8107/","Etno","Greece",""
"KCMP - The Current [Minneapolis]","http://204.93.222.86:80/kcmp","Electric","US",""
"KDND - 107.9 The End [California]","http://2463.live.streamtheworld.com:80/KDNDFM_SC","Top 40","US",""
"Klasne Radio","http://212.66.57.18:8000/","Pop","Україна",""
"KMTT - 103.7 The Mountain [Washington]","http://2293.live.streamtheworld.com:80/KMTTFM_SC","Rock","US",""
"KNOW [Minneapolis]","http://204.93.222.90:80/news","News","US",""
"Kriti FM","http://s3.onweb.gr:8878/","Etno","Greece",""
"KSJN [Minneapolis]","http://classicalstream1.publicradio.org:80/","Classic","US",""
"KUOW [Washington]","http://128.208.34.80:8002/","News","US",""
"KUPS [Washington]","http://kupstream.ups.edu:80/","Dance","US",""
"Latino FM","http://92.48.107.35:8000/","Etno","Spain",""
"Latvijas Radio 3 Klasika","http://lr3mp0.latvijasradio.lv:8006/","Classic","Latvia",""
"Legend FM","http://s6.onweb.gr:8002/","Rock","Greece",""
"Libero 107.4","http://eco.onestreaming.com:8081/","Sport","Greece",""
"Life Radio","http://s1.onweb.gr:8836/","Top 40","Greece",""
"Loca FM Madrid","http://audio-online.net:23500/","Dance","Spain",""
"M80 Radio","http://194.169.201.177:8085/liveM80.mp3","Oldies","Spain",""
"Magic FM","http://80.86.106.35:9000/","Alternative","Romania",""
"Melodia FM 88","http://eco.onestreaming.com:8129/","Etno","Greece",""
"Mix FM 88.4","http://87.117.228.94:7222/","Top 40","Romania",""
"MR3 Bartók Rádió","http://stream002.radio.hu:80/mr3.mp3","News","Hungary",""
"MyDeeJay","http://91.132.6.21:8011/","Pop","Greece",""
"Narodni Radio","http://s7.iqstreaming.com:9498","Hit","Croatia",""
"National FM","http://live.nationalfm.ro:8001/","Folk","Romania",""
"Naxi Radio – 80","http://naxidigital48.kbcnet.rs:8045/","Oldies","Serbia",""
"Naxi Radio - Cafe","http://naxidigital48.kbcnet.rs:8025/","Etno","Serbia",""
"Naxi Radio - Classic","http://naxidigital48.kbcnet.rs:8035/","Classic","Serbia","Favorite"
"Naxi Radio - Clubbing","http://naxidigital48.kbcnet.rs:8095/","Dance","Serbia","Favorite"
"Naxi Radio - Evergreen","http://naxidigital48.kbcnet.rs:8015/","Classic Hits","Serbia","Favorite"
"Naxi Radio - House","http://naxidigital48.kbcnet.rs:8005/","House","Serbia",""
"Naxi Radio - Kids","http://naxidigital48.kbcnet.rs:8055/","Etno","Serbia",""
